step, arrivals_sum, infringement_sum, reward ,av arr,av inf
92002,3,3359,-143208.123915717,3.2607986782896E-05,0.0365100758679159
92502,3,3361,-186884.052130967,3.24317312058118E-05,0.0363343495275778
93002,3,3361,-162287.273003981,3.22573708092299E-05,0.0361390077632739
93502,3,3368,-303166.879847005,3.20848751898355E-05,0.0360206198797887
94002,3,3368,-133350.568189323,3.19142145911789E-05,0.0358290249143635
94502,3,3368,-144689.637426734,3.17453598865632E-05,0.0356394573659817
95002,3,3379,-369176.481354594,3.15782825624724E-05,0.0355676722595314
95502,3,3379,-142224.098212019,3.14129547025193E-05,0.0353814579799376
96002,3,3382,-229765.737065673,3.12493489718964E-05,0.0352284327409846
96502,3,3392,-352557.996644944,3.10874386023088E-05,0.0351495305796771
97002,3,3392,-153116.580373496,3.09271973773737E-05,0.0349683511680172
97502,3,3392,-137762.321797341,3.07685996184694E-05,0.034789029968616
98002,3,3392,-147320.07951957,3.06116201710169E-05,0.0346115385400298
98502,3,3392,-154006.461173058,3.04562343911799E-05,0.034435849018294
99002,3,3392,-167211.881427974,3.0302418132967E-05,0.0342619341023414
99502,3,3392,-157162.037007958,3.01501477357239E-05,0.0340897670398585
100002,3,3392,-174117.600329071,2.99994000119998E-05,0.0339193216135677
100502,3,3394,-210641.573031038,2.98501522357764E-05,0.0337704722294084
101002,3,3394,-170185.447804064,2.97023821310469E-05,0.0336032949842577
101502,3,3394,-150201.974237353,2.95560678607318E-05,0.0334377647731079
102002,3,3394,-156969.217340305,2.94111880159213E-05,0.0332738573753456
102502,3,3394,-169776.197906852,2.92677216054321E-05,0.0331115490429455
103002,3,3394,-146144.611103863,2.9125648045669E-05,0.0329508164890002
103502,3,3394,-203677.488537624,2.89849471507797E-05,0.0327916368765821
104002,3,3394,-170614.761526585,2.88455991230938E-05,0.0326339878079268
104502,3,3394,-172884.838186562,2.87075845438365E-05,0.032477847313927
105002,3,3400,-270047.90096803,2.85708843641073E-05,0.032380335612655
105502,3,3400,-152165.602518797,2.84354798961157E-05,0.0322268772155978
106002,3,3400,-127480.680247396,2.83013528046641E-05,0.0320748665119526
106502,3,3400,-152870.227774188,2.81684850988714E-05,0.0319242831120542
107002,3,3408,-306469.417000607,2.80368591241285E-05,0.03184987196501
107502,3,3408,-147149.375863481,2.79064575542781E-05,0.0317017357816599
108002,3,3417,-329552.907666892,2.77772633840114E-05,0.031638302994389
108502,3,3423,-301781.61333479,2.76492599214761E-05,0.0315478055704042
109002,3,3423,-145067.967399344,2.75224307810866E-05,0.0314030935212198
109502,3,3425,-168432.21975036,2.73967598765319E-05,0.0312779675257073
110002,3,3425,-149381.53050527,2.72722314139743E-05,0.031135797530954
110502,3,3434,-353110.226703703,2.71488298854319E-05,0.0310763606088578
111002,3,3434,-147399.029614031,2.70265400623412E-05,0.0309363795246932
111502,3,3434,-145187.461603448,2.69053469892917E-05,0.0307976538537425
112002,3,3436,-178255.266037337,2.6785235977929E-05,0.0306780236067213
112502,3,3436,-129628.053196587,2.66661926010204E-05,0.0305416792590354
113002,3,3436,-131798.065599531,2.65482026866781E-05,0.030406541477142
113502,3,3436,-133729.636201046,2.64312523127346E-05,0.0302725943155187
114002,3,3437,-147208.836110055,2.63153278012666E-05,0.0301485938843178
114502,3,3437,-136753.259081602,2.62004157132626E-05,0.0300169429354946
115002,3,3443,-261900.197349131,2.60865028434288E-05,0.0299386097633085
115502,3,3443,-128268.151809514,2.59735762151305E-05,0.0298090076362314
116002,3,3451,-309748.177712642,2.58616230754642E-05,0.029749487077809
116502,3,3462,-371550.71142371,2.57506308904568E-05,0.0297162280475872
117002,3,3462,-120997.59046796,2.56405873403873E-05,0.029589237790807
117502,3,3462,-136698.789022356,2.55314803152287E-05,0.0294633282837739
118002,3,3477,-458606.935348064,2.54232979102049E-05,0.0294656022779275
118502,3,3484,-286462.483119965,2.53160284214612E-05,0.029400347673457
119002,3,3484,-130871.263011821,2.5209660341843E-05,0.0292768188769937
119502,3,3484,-138180.078106016,2.51041823567806E-05,0.0291543237770079
120002,3,3486,-191046.207039282,2.49995833402777E-05,0.0290495158414026
120502,3,3486,-162992.523862362,2.48958523509983E-05,0.0289289804318601
121002,3,3486,-144818.812972903,2.47929786284524E-05,0.0288094411662617
121502,3,3490,-228906.958062023,2.46909515892742E-05,0.0287238070155224
122002,3,3515,-646026.015715986,2.45897608235931E-05,0.0288110030983099
122502,3,3520,-247889.23175481,2.44893960914924E-05,0.0287342247473511
123002,3,3529,-321977.724026903,2.43898473195558E-05,0.0286905903969041
123502,3,3539,-354828.728925575,2.42911045974964E-05,0.0286554063901799
124002,4,3542,-193017.205669828,3.22575442331575E-05,0.028564055418461
124502,4,3547,-227116.879927546,3.21279979438081E-05,0.0284895021766719
125002,4,3559,-360514.47739495,3.19994880081919E-05,0.0284715444552887
125502,4,3582,-625221.391288132,3.18720020398081E-05,0.0285413778266482
126002,4,3582,-153707.30926019,3.17455278487643E-05,0.0284281201885684
126502,4,3585,-192542.047322921,3.16200534378903E-05,0.0283394728937092
127002,4,3585,-117738.6305997,3.14955669989449E-05,0.0282279019228044
127502,4,3587,-154856.401077088,3.13720569089112E-05,0.0281328920330661
128002,4,3587,-125464.710798554,3.12495117263793E-05,0.0280229996406306
128502,5,3588,-146095.415204182,3.89099002350158E-05,0.0279217444086473
129002,5,3588,-112396.742295876,3.8759089006372E-05,0.0278135222709725
129502,5,3588,-118755.665820986,3.8609442325215E-05,0.0277061358125743
130002,5,3592,-202796.502293803,3.84609467546653E-05,0.0276303441485516
130502,5,3603,-351696.077410966,3.83135890637691E-05,0.027608772279352
131002,5,3605,-149206.830061466,3.81673562235691E-05,0.0275186638371933
131502,5,3605,-121775.32582061,3.80222354032638E-05,0.0274140317257532
132002,6,3605,-105192.99009888,4.54538567597461E-05,0.0273101922698141
132502,6,3605,-129476.974602114,4.52823353609757E-05,0.0272071364960529
133002,6,3606,-156794.348987892,4.51121035773898E-05,0.0271123742500113
133502,6,3606,-123252.529764983,4.49431469191473E-05,0.0270108312984075
134002,6,3607,-128666.919221224,4.477545111267E-05,0.0269175086939001
134502,6,3607,-102465.336517083,4.46090020966231E-05,0.0268174450937533
135002,6,3607,-115463.738626024,4.44437860179849E-05,0.0267181226944786
135502,7,3607,-107866.054849081,5.16597540995705E-05,0.0266195332910215
136002,8,3607,-108772.555870608,5.88226643725827E-05,0.0265216687989882
136502,8,3607,-103228.557969823,5.8607199894507E-05,0.0264245212524359
137002,8,3607,-116323.469257113,5.83933081268887E-05,0.0263280828017109
137502,8,3609,-157799.447817363,5.81809719131358E-05,0.0262468909543134
138002,8,3609,-111905.181538038,5.79701743452993E-05,0.0261517949015232
138502,9,3609,-116211.20808664,6.49810111045328E-05,0.0260573854529176
139002,9,3609,-104680.005647955,6.47472698234558E-05,0.0259636551992058
139502,9,3609,-116489.956316769,6.45152040830956E-05,0.0258705968373213
140002,9,3609,-117951.593215924,6.42847959314867E-05,0.0257782031685262
140502,9,3610,-128715.814588689,6.4056027672204E-05,0.0256935844329618
141002,10,3610,-117988.799995489,7.09209798442575E-05,0.025602473723777
141502,11,3618,-295028.906924561,7.77374171389804E-05,0.0255685432008028
142002,11,3654,-881845.861641049,7.74636976943987E-05,0.0257320319432121
142502,11,3654,-120131.828799397,7.71918990610658E-05,0.0256417453790122
143002,11,3657,-180543.442090288,7.69220010908938E-05,0.0255730689081272
143502,11,3657,-120318.773856342,7.66539839166005E-05,0.0254839653802734
144002,14,3657,-118602.487025987,9.72208719323343E-05,0.0253954806183247
144502,15,3657,-133910.320428231,0.000103804791629182,0.0253076081991945
145002,15,3657,-126784.164121971,0.000103446849008979,0.0252203417883891
145502,16,3657,-119329.587551758,0.000109964124204478,0.0251336751384861
146002,16,3662,-223716.286281332,0.000109587539896714,0.0250818481938604
146502,18,3663,-136105.943212837,0.000122865216857108,0.0250030716304214
147002,18,3663,-114557.359737933,0.000122447313641991,0.0249180283261452
147502,19,3673,-341974.5732214,0.000128811812721183,0.0249013572697319
148002,19,3675,-157787.632443146,0.000128376643558871,0.0248307455304658
148502,19,3686,-353509.469967872,0.000127944404789161,0.0248212145290972
149002,20,3686,-117521.271629423,0.000134226386223004,0.0247379229808996
149502,20,3686,-121585.632165983,0.000133777474548835,0.0246551885593504
150002,21,3698,-367355.723785907,0.000139998133358222,0.024653004626605
150502,21,3702,-226136.132317346,0.000139533029461403,0.024597679765053
151002,21,3705,-184678.127124958,0.000139071005682044,0.0245360988596178
151502,21,3705,-109517.319107488,0.000138612031524336,0.0244551227046508
152002,21,3707,-153832.844857741,0.000138156076893725,0.0243878370021447
152502,21,3709,-146713.577592967,0.000137703112090333,0.0243209925115736
153002,21,3709,-110164.807079632,0.000137253107802512,0.0242415131828342
153502,21,3709,-121231.193548972,0.00013680603510052,0.0241625516279918
154002,21,3716,-276873.447398677,0.000136361865430319,0.0241295567590031
154502,21,3720,-233031.855341345,0.0001359205706075,0.0240773582219
155002,22,3736,-465772.28408742,0.000141933652469,0.0241029148010993
155502,22,3736,-119040.256000232,0.000141477280034983,0.0240254144641226
156002,22,3736,-111289.263199575,0.000141023833027782,0.0239484109178087
156502,23,3736,-117899.726222713,0.000146962978108906,0.0238718994006466
157002,23,3739,-166888.069433518,0.000146494949108929,0.023814983248621
157502,23,3744,-210442.834341404,0.000146029891683915,0.0237711267158512
158002,24,3744,-120378.403880894,0.000151896811432767,0.0236959025835116
158502,24,3744,-114003.004114479,0.000151417647726843,0.0236211530453874
159002,26,3744,-111669.667418344,0.000163519955723827,0.0235468736242311
159502,27,3744,-111796.829806972,0.000169276874271169,0.0234730598989354
160002,27,3744,-111523.425081797,0.000168747890651367,0.0233997075036562
160502,27,3744,-106886.437335238,0.000168222202838594,0.0233268121269517
161002,27,3744,-119167.176502738,0.000167699780126955,0.0232543695109378
161502,27,3761,-509881.033454627,0.000167180592190809,0.0232876373048012
162002,28,3761,-112425.251364479,0.000172837372378119,0.0232157627683609
162502,29,3761,-117598.829579211,0.000178459342038867,0.0231443305313165
163002,29,3763,-157676.563821184,0.000177911927461013,0.023085606311579
163502,30,3772,-303941.268589042,0.000183483994079583,0.0230700541889396
164002,30,3772,-114217.880463205,0.000182924598480506,0.0229997195156157
164502,30,3776,-200466.540809616,0.000182368603421235,0.0229541282172861
165002,30,3776,-122336.14125137,0.000181815977988146,0.0228845710961079
165502,30,3782,-257373.68554159,0.000181266691641189,0.0228516875928992
166002,30,3796,-399675.079137869,0.000180720714208263,0.0228671943711522
166502,30,3796,-126274.009065058,0.000180178015879689,0.0227985249426433
167002,30,3796,-111599.141036823,0.000179638567202788,0.0227302667033928
167502,31,3799,-169628.490977411,0.000185072417045767,0.0226803262050602
168002,32,3799,-118811.510345683,0.000190473922929489,0.0226128260377853
168502,33,3827,-699960.108805545,0.000195843372778958,0.0227118965946992
169002,33,3836,-306180.134341914,0.000195263961373238,0.0226979562372043
169502,33,3847,-350420.000751704,0.00019468796828356,0.0226958973935411
170002,34,3847,-109599.518071726,0.000199997647086505,0.0226291455394642
170502,35,3847,-120227.364679113,0.000205276184443584,0.0225627851872705
171002,35,3847,-126549.393467894,0.00020467596870212,0.0224968129027731
171502,35,3848,-147986.410115644,0.000204079252720085,0.0224370561276253
172002,37,3849,-180666.144703559,0.00021511377774677,0.0223776467715492
172502,37,3858,-311743.993128352,0.000214490266779516,0.0223649580874425
173002,39,3864,-265972.143783718,0.000225430919873759,0.0223350019074924
173502,40,3864,-134267.583060488,0.000230544892854261,0.0222706366497216
174002,40,3864,-128123.287115589,0.000229882415144653,0.0222066413029735
174502,41,3867,-178813.652047426,0.000234954327171035,0.0221602044675706
175002,43,3867,-104884.949672177,0.000245711477583113,0.0220968903212535
175502,46,3867,-102493.051919766,0.000262105275153559,0.0220339369351916
176002,47,3879,-391862.381386291,0.0002670424199725,0.0220395222781559
176502,47,3879,-116364.509990677,0.000266285934437004,0.0219770880783221
177002,48,3879,-119739.872552431,0.000271183376459023,0.0219150066100948
177502,48,3879,-136235.268909398,0.000270419488231118,0.0218532748926773
178002,49,3879,-132325.424526304,0.00027527780586735,0.0217918899787643
178502,49,3879,-108671.732880741,0.00027450672821593,0.0217308489540733
179002,49,3879,-127315.531132892,0.000273739958212757,0.0216701489368834
179502,49,3879,-102246.300473869,0.000272977459861171,0.0216097870775813
180002,49,3879,-107494.186349824,0.000272219197564471,0.021549760558216
180502,50,3885,-245732.613604465,0.000277005240939159,0.0215233072209726
181002,51,3885,-109839.723303512,0.000281764842377432,0.0214638512281632
181502,52,3885,-133495.742558151,0.000286498220405285,0.0214047228129718
182002,53,3885,-119907.221030533,0.00029120559114735,0.0213459192756124
182502,53,3885,-109212.270781748,0.000290407776353136,0.0212874379458855
183002,54,3885,-116535.84250956,0.000295078742308827,0.021229276182774
183502,55,3885,-104081.70113978,0.000299724253686608,0.021171431374045
184002,56,3885,-138492.560932608,0.00030434451799437,0.0211139009358594
184502,58,3885,-95695.4653645903,0.000314359735937822,0.0210566823123869
185002,58,3885,-97667.9542490281,0.000313510124214873,0.0209997729754273
185502,58,3885,-110289.432637826,0.000312665092559649,0.0209431704240386
186002,59,3885,-127932.049910438,0.000317200890313007,0.0208868721841701
186502,59,3885,-102294.701889563,0.000316350494900859,0.0208308758083023
187002,60,3885,-135978.850970531,0.000320852183399108,0.0207751788750922
187502,61,3885,-100287.196516844,0.000325329863148126,0.0207197789890241
188002,62,3885,-124497.477663271,0.000329783725705046,0.0206646737800662
188502,64,3885,-111489.720377462,0.000339518944096084,0.0206098609033326
189002,64,3885,-105014.77541456,0.000338620755335922,0.0205553380387509
189502,65,3885,-106288.576327164,0.000343004295469177,0.0205011028907347
190002,66,3885,-110541.280718774,0.000347364764581425,0.0204471531878612
190502,69,3885,-107945.102681475,0.000362200921775099,0.0203934866825545
191002,72,3885,-106420.116208948,0.000376959403566455,0.0203401011507733
191502,72,3886,-119855.889390713,0.000375975185637748,0.0202922162692818
192002,73,3886,-101337.983174384,0.000380204372871116,0.0202393725065364
192502,74,3886,-121364.580145016,0.00038441159052893,0.0201868032539922
193002,75,3886,-102469.083603786,0.000388597009357416,0.0201345063781722
193502,78,3886,-136340.701624572,0.000403096608820581,0.020082479767651
194002,79,3886,-99688.7873708438,0.000407212296780446,0.0200307213327698
194502,79,3886,-109120.259653013,0.000406165489300881,0.0199792290053573
