step, arrivals_sum, infringement_sum, reward 
250002,1289, 1879, -56423.764053463936
250502,1295, 1883, -72191.97259870172
251002,1307, 1885, -69599.04518729448
251502,1328, 1885, -64283.450585246086
252002,1337, 1887, -63389.524279117584
252502,1349, 1888, -69214.88618779182
253002,1359, 1891, -73476.07641887665
253502,1371, 1892, -67911.88656270504
254002,1388, 1897, -73471.21323281527
254502,1401, 1899, -65022.33642590046
255002,1413, 1901, -66553.11083269119
255502,1432, 1903, -60360.13164949417
256002,1450, 1904, -66947.83366495371
256502,1462, 1909, -76488.77997303009
257002,1472, 1909, -55480.68065863848
257502,1490, 1909, -68409.55343645811
258002,1506, 1909, -65133.93987733126
258502,1518, 1911, -74412.00209861994
259002,1528, 1914, -73362.59742879868
259502,1542, 1914, -65643.9087702632
260002,1551, 1915, -70857.5238032937
260502,1569, 1917, -62796.35417282581
261002,1583, 1918, -72722.92599123716
261502,1594, 1919, -63489.82775771618
262002,1602, 1919, -63138.83163815737
262502,1618, 1919, -56461.70968925953
263002,1632, 1921, -61308.0026307106
263502,1648, 1921, -57272.09660422802
264002,1660, 1923, -69558.63212645054
264502,1672, 1926, -70640.40638816357
265002,1686, 1927, -72468.8111088872
265502,1704, 1929, -62013.65879946947
266002,1719, 1930, -59751.64438474178
266502,1730, 1930, -64370.198441147804
267002,1745, 1931, -55761.9507548213
267502,1760, 1932, -64693.34436970949
268002,1773, 1935, -58303.73611295223
268502,1788, 1935, -58552.873386859894
269002,1798, 1935, -57458.54045534134
269502,1808, 1935, -64091.01792252064
270002,1821, 1936, -64880.073710143566
270502,1833, 1937, -64990.353027284145
271002,1846, 1937, -63345.65751853585
271502,1858, 1937, -63716.10224276781
272002,1874, 1937, -52416.700838148594
272502,1889, 1940, -59699.58748406172
273002,1907, 1943, -62353.244067668915
273502,1926, 1947, -55242.673755675554
274002,1941, 1949, -63836.5202178359
274502,1960, 1952, -57884.353498101234
275002,1982, 1953, -59105.451083123684
275502,1999, 1954, -54030.716510891914
276002,2012, 1955, -67626.9442794621
276502,2030, 1958, -65797.05194470286
277002,2054, 1959, -60210.44339841604
277502,2085, 1960, -70298.3232742548
278002,2107, 1963, -83514.96089214087
278502,2127, 1971, -72868.16335260868
279002,2142, 1971, -55752.60774034262
279502,2161, 1972, -55993.00304955244
280002,2175, 1974, -58006.743822038174
280502,2190, 1976, -62760.931155115366
281002,2212, 1981, -68466.35506731272
281502,2229, 1982, -53503.45025253296
282002,2254, 1983, -58287.703122437
282502,2273, 1984, -54758.75944775343
283002,2296, 1985, -57863.5521466136
283502,2314, 1985, -65214.552586853504
284002,2331, 1987, -66269.72322201729
284502,2349, 1987, -57689.76000106335
285002,2368, 1988, -54091.68706315756
285502,2390, 1989, -61679.68117117882
286002,2409, 1989, -54827.28453415632
286502,2431, 1989, -46176.62780177593
287002,2456, 1991, -67001.95347648859
287502,2478, 1991, -59610.64538556337
288002,2496, 1991, -62367.358495533466
288502,2513, 1993, -66407.67578959465
289002,2534, 1994, -62513.09790235758
289502,2553, 1995, -59017.72957918048
290002,2562, 1995, -64608.332906246185
290502,2579, 1995, -62892.38061109185
291002,2592, 1998, -63115.480452120304
291502,2615, 1998, -57365.05943661928
292002,2631, 1999, -71054.95150899887
292502,2642, 1999, -54091.052195608616
293002,2663, 2000, -54808.95664358139
293502,2686, 2001, -64186.09570711851
294002,2707, 2002, -53959.65687203407
294502,2728, 2004, -62656.20266973972
295002,2745, 2006, -54224.9655534029
295502,2767, 2008, -62295.419683009386
296002,2793, 2010, -51183.42251461744
296502,2823, 2010, -53588.245272278786
297002,2841, 2013, -67394.76715385914
297502,2860, 2016, -65917.72245657444
298002,2874, 2018, -63767.99200308323
298502,2892, 2022, -66755.23853260279
299002,2912, 2022, -57979.102702498436
299502,2928, 2024, -63169.85489016771
300002,2954, 2026, -56676.802372694016
300502,2980, 2031, -72375.91772937775
301002,2992, 2031, -64025.80445933342
301502,3015, 2032, -49057.37732732296
302002,3038, 2034, -66273.4545095563
302502,3060, 2036, -55313.89790701866
303002,3082, 2037, -47741.26099586487
303502,3106, 2038, -51175.44008433819
304002,3128, 2040, -55485.16820371151
304502,3152, 2041, -59697.87879997492
305002,3166, 2046, -62956.06162798405
305502,3184, 2047, -52430.65649306774
306002,3214, 2048, -52253.59524548054
306502,3233, 2051, -56787.35779315233
307002,3262, 2053, -69948.77120119333
307502,3276, 2058, -68683.07474559546
308002,3301, 2062, -64616.48485869169
308502,3324, 2066, -56640.03552228212
309002,3349, 2066, -51684.90539944172
309502,3371, 2067, -59250.583862006664
310002,3394, 2067, -58998.58568841219
310502,3412, 2069, -57737.73203599453
311002,3436, 2071, -65527.473069012165
311502,3459, 2073, -54233.25857818127
312002,3483, 2074, -62088.72402238846
312502,3516, 2074, -50346.17985081673
313002,3545, 2076, -56278.16719561815
313502,3574, 2076, -61351.432547330856
314002,3599, 2079, -62104.90504980087
314502,3626, 2079, -52917.07709902525
315002,3652, 2079, -49143.58147406578
315502,3675, 2079, -63697.61061549187
316002,3703, 2080, -69067.01821821928
316502,3726, 2081, -56194.032260775566
317002,3761, 2083, -55131.986635535955
317502,3782, 2085, -65983.91007763147
318002,3814, 2087, -58461.71487176418
318502,3844, 2088, -57985.36371308565
319002,3875, 2088, -58479.90200424194
319502,3902, 2089, -49467.001538038254
320002,3920, 2090, -50545.8344733119
320502,3949, 2090, -46541.49229431152
321002,3972, 2094, -57641.18831944466
321502,3998, 2096, -51790.430501163006
322002,4023, 2098, -58133.347864449024
322502,4047, 2103, -66956.31324225664
323002,4070, 2104, -67570.26168745756
323502,4099, 2105, -42375.18415814638
324002,4126, 2107, -56861.3150010705
324502,4156, 2108, -59298.644400298595
325002,4184, 2112, -59353.64286613464
325502,4216, 2113, -52025.201935470104
326002,4249, 2119, -67738.74753707647
326502,4274, 2119, -51714.173237502575
327002,4304, 2120, -47284.13893336058
327502,4330, 2121, -45784.33548128605
328002,4354, 2125, -62970.03101116419
328502,4383, 2128, -56735.71163010597
329002,4404, 2130, -56815.569722771645
329502,4424, 2134, -63805.90785062313
330002,4456, 2135, -55052.924394488335
330502,4480, 2138, -66395.25867190957
