step, arrivals_sum, infringement_sum, reward ,arr,inf
164002,578,8271,-99437.0926172571,0.00352434726405776,0.0504323118010756
164502,586,8321,-123821.460511134,0.00356226672016146,0.0505829716356032
165002,592,8377,-141441.966353503,0.00358783529896607,0.0507690815868899
165502,601,8404,-89797.0357804485,0.00363137605587848,0.0507788425517516
166002,612,8446,-118837.167092644,0.00368670256984856,0.0508789050734329
166502,623,8488,-119192.321754333,0.00374169679643488,0.0509783666262267
167002,637,8516,-99966.8905121959,0.0038143255769392,0.0509934012766314
167502,647,8563,-117918.890475872,0.00386264044608423,0.0511217776504161
168002,660,8620,-146817.690171119,0.00392852466042071,0.0513089129891311
168502,672,8686,-133548.293684174,0.00398808322749878,0.0515483495744858
169002,681,8706,-94980.3649734891,0.00402953811197501,0.0515141832641034
169502,692,8743,-100691.272187301,0.00408254769855223,0.0515805123243384
170002,705,8759,-84057.0671965549,0.00414701003517606,0.0515229232597264
170502,715,8921,-246828.477992222,0.00419349919649036,0.052321966897749
171002,724,8996,-150754.06149556,0.00423386860972386,0.052607571841265
171502,736,9059,-133085.889767221,0.00429149514291379,0.05282154143975
172002,742,9117,-130266.025648975,0.0043139033267055,0.0530051976139812
172502,758,9184,-138742.795444153,0.00439415195186143,0.0532399624352181
173002,768,9244,-139059.942566102,0.00443925503751402,0.0534329082900776
173502,780,9343,-172316.96455049,0.00449562541065809,0.053849523348434
174002,795,9414,-140090.11670417,0.00456891300099999,0.0541028264042942
174502,805,9474,-118626.941374099,0.00461312764323618,0.0542916413565461
175002,818,9582,-190460.97159518,0.00467423229448806,0.0547536599581719
175502,829,9712,-203248.168563192,0.00472359289352828,0.0553384007019863
176002,844,9771,-134092.545484847,0.00479540005227213,0.0555164145861979
176502,858,9792,-82963.9789685531,0.00486113471802019,0.0554781248937689
177002,871,9893,-178469.128681623,0.00492084835199602,0.0558920238189399
177502,885,9944,-121205.761200065,0.00498585931426125,0.0560219039785467
178002,900,10053,-196640.367628687,0.00505612296491051,0.0564768935180504
178502,911,10169,-199552.77893939,0.00510358427356556,0.0569685493719958
179002,923,10273,-207152.776682459,0.00515636696796684,0.0573904202187685
179502,942,10338,-130735.753601128,0.00524785239161681,0.0575926730621386
180002,958,10414,-151846.211571311,0.00532216308707681,0.057854912723192
180502,972,10568,-237226.786338312,0.00538498188385724,0.0585478277249006
181002,993,10641,-156678.225736619,0.00548612722511354,0.0587894056419266
181502,1007,10777,-214288.896307057,0.00554814822977157,0.0593767561789953
182002,1021,10868,-168722.073331619,0.00560982846342348,0.0597136295205547
182502,1035,10913,-114065.115848028,0.00567117072689614,0.0597966049687127
183002,1044,11030,-195774.326053367,0.00570485568463733,0.0602725653271549
183502,1054,11075,-118200.634128181,0.00574380660701246,0.0603535656287125
184002,1071,11113,-105983.554669454,0.00582058890664232,0.0603960826512755
184502,1085,11147,-101285.364199016,0.00588069506021615,0.060416689249981
185002,1105,11202,-129591.441915324,0.00597290840099026,0.0605506967492243
185502,1117,11288,-157293.094628888,0.00602149842050221,0.0608510959450572
186002,1131,11333,-114226.282293865,0.00608057977871206,0.0609294523714799
186502,1152,11370,-111915.227076999,0.00617687745975915,0.060964493678352
187002,1174,11412,-110368.032901817,0.00627800772184255,0.0610260852825104
187502,1192,11459,-115053.144284749,0.00635726552250109,0.0611140147838423
188002,1212,11489,-104269.589470133,0.00644673992829863,0.061111052010085
188502,1223,11549,-132231.27510938,0.0064879948223361,0.0612672544588386
189002,1239,11614,-136104.63463458,0.00655548618533137,0.0614490851948657
189502,1259,11655,-107817.29321708,0.00664372935377991,0.061503308672204
190002,1275,11740,-154014.80067075,0.0067104556794139,0.0617888232755445
190502,1290,11809,-130307.10462368,0.00677158245057795,0.0619888505107558
191002,1301,11886,-146725.258774215,0.00681144700055497,0.0622297148720956
191502,1315,11959,-141910.013909514,0.0068667690154672,0.0624484339589143
192002,1339,12002,-120197.702905782,0.00697388568869074,0.0625097655232758
192502,1359,12078,-153115.142416605,0.00705966691255156,0.0627422052757893
193002,1375,12195,-199050.145890416,0.00712427850488596,0.0631858737215158
193502,1386,12282,-153360.242720292,0.00716271666442724,0.0634722121735176
194002,1398,12362,-150751.531331521,0.00720611127720333,0.0637209925670869
194502,1422,12414,-130035.108300891,0.00731097880741586,0.063824536508622
195002,1440,12462,-119182.635275631,0.00738453964574722,0.0639070368509041
195502,1459,12531,-143006.680674268,0.00746283925484138,0.0640965309817802
196002,1478,12615,-165014.217985002,0.00754073938021041,0.0643615881470597
196502,1502,12671,-130976.161468318,0.00764368810495567,0.0644828042462672
197002,1524,12718,-111813.420127539,0.00773596207145105,0.0645577202261906
197502,1554,12777,-144474.944091124,0.00786827475164808,0.0646930157669289
198002,1579,12851,-143987.102499343,0.00797466692255634,0.0649033848142948
198502,1602,12911,-131005.82395107,0.00807044765292037,0.0650421658220068
199002,1618,13098,-269613.258824584,0.0081305715520447,0.0658184339855881
199502,1639,13177,-161427.090887487,0.00821545648665176,0.0660494631632766
200002,1662,13319,-212872.658695957,0.00830991690083099,0.0665943340566594
200502,1684,13415,-162149.829302164,0.00839891871402779,0.0669070632711893
201002,1706,13531,-189037.073338216,0.00848747773653994,0.0673177381319589
201502,1726,13646,-180914.849161799,0.00856567180474636,0.0677214121944199
202002,1748,13894,-347295.859678135,0.00865337966950822,0.0687814972128989
202502,1772,14132,-330905.373047426,0.00875053085895448,0.0697869650670117
203002,1799,14250,-192423.187119744,0.00886198165535315,0.0701963527452932
203502,1823,14360,-178416.998337012,0.00895814291751432,0.0705644170573262
204002,1847,14537,-258203.005655614,0.00905383280556073,0.0712591053028892
204502,1870,14674,-211161.031098213,0.00914416484924353,0.0717547994640639
205002,1891,14999,-423952.015063863,0.00922430025072926,0.0731651398522941
205502,1909,15239,-320346.890328006,0.0092894473046491,0.0741549960584325
206002,1941,15452,-306078.125973268,0.00942223861904253,0.075008980495335
206502,1964,15579,-219079.698400104,0.00951080376945502,0.0754423685969143
207002,1995,15783,-290138.652309248,0.00963758804262761,0.0762456401387426
207502,2028,15934,-237524.286280347,0.00977339977446001,0.0767896213048549
208002,2058,16166,-327422.902396243,0.00989413563331122,0.0777204065345526
208502,2084,16436,-366295.986894181,0.0099951079605951,0.0788289800577453
209002,2108,16794,-467760.603441264,0.0100860278849006,0.0803532980545641
209502,2140,16927,-223579.535933816,0.010214699621006,0.0807963647125087
210002,2170,17176,-358083.249866929,0.0103332349215722,0.0817896972409787
210502,2199,17301,-205373.75673964,0.0104464565657333,0.08218924285755
211002,2231,17462,-250868.08996938,0.0105733594942228,0.0827575094074938
211502,2262,17557,-163200.974509551,0.0106949343268622,0.0830110353566397
